Geography,"Under $5,000 (including loss)","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 and over",Median employment income ($) 6
Newfoundland and Labrador i2,"43,605","24,045","21,630","17,415","14,945","14,570","13,155","11,765","11,930","11,230","18,900","15,375","12,825","10,870","10,060","29,120","31,600"
"Corner Brook (CA), N.L. i3","2,470","1,375","1,145",905,875,875,865,710,825,765,"1,230",855,770,665,595,"1,280","32,800"
"Gander (CA), N.L. i4","1,160",610,490,390,385,425,385,290,320,305,515,440,405,325,300,835,"34,000"
"Grand Falls-Windsor (CA), N.L. i5","1,200",625,455,425,445,400,370,305,340,280,440,375,295,210,300,620,"30,000"
"St. John's (CMA), N.L. i6","18,015","9,585","7,640","6,105","5,520","5,430","5,205","5,060","5,470","5,420","9,545","8,120","6,950","6,140","5,400","16,210","40,400"
Prince Edward Island i7,"11,935","8,255","7,385","6,320","5,305","5,225","5,355","5,035","4,790","4,550","7,550","5,445","3,940","3,175","2,295","4,780","31,200"
"Charlottetown (CA), P.E.I. i8","6,060","4,280","3,525","2,935","2,560","2,520","2,680","2,450","2,355","2,230","3,920","3,030","2,285","1,930","1,430","3,035","33,200"
"Summerside (CA), P.E.I. i9","1,275",935,780,650,570,660,625,590,590,580,930,620,420,300,225,400,"31,400"
Nova Scotia i10,"77,560","45,840","38,955","32,790","29,615","28,915","27,435","27,070","26,935","24,725","40,920","33,350","27,430","24,060","17,815","40,130","33,200"
"Cape Breton (CA), N.S. i11","7,120","4,520","4,365","3,695","3,080","3,030","2,520","2,325","2,400","2,180","3,315","2,705","1,915","1,710","1,575","2,555","27,800"
"Halifax (CMA), N.S. i12","36,400","22,285","18,245","14,905","13,545","13,245","13,100","13,180","13,480","12,695","22,115","18,605","15,995","14,735","10,955","26,610","38,400"
"Kentville (CA), N.S. i13","2,130","1,240","1,030",890,860,870,845,825,790,720,"1,135",840,690,600,395,750,"31,800"
"New Glasgow (CA), N.S. i14","3,220","1,510","1,265","1,100","1,055","1,005",905,975,"1,025",885,"1,365","1,070",805,620,550,975,"30,000"
"Truro (CA), N.S. i15","3,565","2,125","1,800","1,610","1,380","1,380","1,410","1,390","1,400","1,265","1,965","1,505","1,195","1,015",715,"1,425","32,400"
New Brunswick i16,"55,130","37,015","32,215","27,205","24,445","24,715","26,575","24,055","23,545","21,210","34,320","27,260","20,860","17,450","11,450","27,460","33,200"
"Bathurst (CA), N.B. i17","2,400","1,520","1,305","1,080",960,"1,000","1,030",900,825,685,"1,195",900,790,650,370,830,"29,800"
"Campbellton (CA), N.B./Que. i18",970,630,585,515,460,405,470,405,365,310,415,315,285,220,165,240,"27,600"
"Edmundston (CA), N.B. i21","1,750","1,010",870,695,710,680,740,750,715,595,885,670,585,520,275,650,"32,400"
"Fredericton (CMA), N.B. i22","7,645","5,405","4,165","3,615","3,225","3,305","3,530","3,070","3,185","3,215","5,180","4,575","3,590","2,960","2,035","5,265","36,800"
"Miramichi (CA), N.B. i23","1,800","1,320","1,165",905,875,875,935,810,730,640,"1,165","1,005",735,700,460,740,"32,800"
"Moncton (CMA), N.B. i24","11,565","7,570","5,940","5,055","4,765","4,920","5,645","5,455","5,365","4,890","7,960","6,130","4,635","3,935","2,660","6,290","36,000"
"Saint John (CMA), N.B. i25","9,230","5,885","4,595","3,910","3,635","3,915","4,280","3,925","3,850","3,450","5,630","4,515","3,665","3,240","2,360","6,970","36,400"
Quebec i26,"644,075","401,180","327,505","275,845","250,700","244,405","242,715","245,290","250,635","235,210","403,980","320,700","250,635","218,105","141,540","422,055","36,000"
"Alma (CA), Que. i27","2,130","1,295","1,150",965,875,930,940,870,905,750,"1,300",975,725,765,410,"1,375","34,400"
"Amos (CA), Que. i28","1,195",780,665,660,545,545,555,570,615,560,"1,025",800,650,555,345,995,"40,000"
"Baie-Comeau (CA), Que. i29","1,895","1,065",845,795,710,720,745,760,770,705,"1,285",875,765,790,610,"1,890","40,400"
"Cowansville (CA), Que. i30","1,105",655,505,485,490,460,525,485,460,430,635,480,335,250,130,320,"31,600"
"Dolbeau-Mistassini (CA), Que. i31","1,070",730,590,525,520,485,435,455,410,410,655,520,385,375,215,420,"32,000"
"Drummondville (CMA), Que. i32","6,410","4,590","4,020","3,550","3,180","3,410","3,350","3,620","3,535","3,390","5,155","3,885","2,570","2,090","1,150","2,695","34,800"
"Granby (CA), Que. i33","7,180","4,115","3,370","2,865","2,755","2,810","2,915","2,935","2,870","2,680","4,450","3,305","2,470","1,960","1,185","3,400","34,400"
"Joliette (CA), Que. i34","3,605","2,070","1,805","1,660","1,515","1,575","1,460","1,455","1,560","1,300","2,190","1,670","1,355","1,240",640,"1,550","33,600"
"Lachute (CA), Que. i35","1,100",570,525,470,465,445,450,430,380,325,520,435,250,260,130,285,"29,400"
"Matane (CA), Que. i36","1,310",765,675,660,600,570,610,615,545,575,795,625,405,405,195,520,"32,800"
"Montréal (CMA), Que. i37","337,275","216,100","168,415","137,760","122,875","118,440","116,005","117,085","120,805","113,025","197,320","159,690","129,695","114,835","76,095","250,205","36,400"
"Québec (CMA), Que. i38","57,060","36,425","30,600","25,025","22,800","22,265","22,780","24,645","26,815","26,355","46,975","37,870","30,645","26,535","17,960","44,205","41,600"
"Rimouski (CA), Que. i39","4,000","2,350","1,975","1,795","1,700","1,590","1,750","1,575","1,605","1,510","2,600","2,000","1,540","1,420",870,"1,980","34,800"
"Rivière-du-Loup (CA), Que. i40","1,945","1,370","1,105",980,910,985,980,"1,025","1,115","1,055","1,580","1,145",825,665,375,985,"36,400"
"Rouyn-Noranda (CA), Que. i41","2,755","1,780","1,550","1,370","1,260","1,140","1,340","1,245","1,270","1,165","2,010","1,680","1,260","1,220",900,"3,060","40,400"
"Saguenay (CMA), Que. i42","13,495","6,525","5,685","5,170","5,005","4,810","4,835","4,895","5,090","4,420","7,360","5,995","4,440","3,985","2,375","7,955","35,600"
"Saint-Georges (CA), Que. i43","2,225","1,615","1,430","1,170","1,030","1,135","1,165","1,260","1,275","1,185","1,970","1,380",975,745,415,895,"35,600"
"Saint-Hyacinthe (CA), Que. i44","3,845","2,645","2,245","1,980","1,910","1,925","2,080","2,035","2,105","1,925","3,015","2,160","1,515","1,300",710,"1,645","34,800"
"Sainte-Agathe-des-Monts (CA), Que. i45","1,785",970,800,745,675,655,590,560,520,460,745,555,425,330,170,655,"27,400"
"Sainte-Marie (CA), Que. i46",795,630,520,415,405,405,410,405,455,470,835,600,465,340,180,445,"38,800"
"Salaberry-de-Valleyfield (CA), Que. i47","3,350","1,660","1,520","1,370","1,410","1,245","1,340","1,355","1,380","1,235","2,085","1,485","1,100",960,605,"1,105","34,000"
"Sept-Îles (CA), Que. i48","2,060","1,130","1,010",810,735,760,750,695,645,810,"1,325",915,835,695,560,"2,575","41,600"
"Shawinigan (CA), Que. i49","3,585","2,015","1,725","1,655","1,550","1,585","1,530","1,425","1,365","1,250","1,975","1,375",900,785,445,"1,055","30,000"
"Sherbrooke (CMA), Que. i50","16,210","10,685","9,365","7,945","7,325","7,125","6,895","7,040","6,805","6,530","10,205","8,175","6,045","5,535","3,100","8,515","33,600"
"Sorel-Tracy (CA), Que. i51","3,030","1,625","1,395","1,195","1,095","1,110","1,115","1,065","1,095",930,"1,650","1,295","1,045","1,085",715,"1,795","35,200"
"Thetford Mines (CA), Que. i52","2,025","1,215","1,020",875,820,860,905,895,945,800,"1,285",765,530,510,265,560,"31,800"
"Trois-Rivières (CMA), Que. i53","11,695","7,185","6,070","5,365","4,975","4,785","4,785","4,770","4,765","4,275","7,075","5,445","4,045","3,385","2,245","6,310","33,600"
"Val-d'Or (CA), Que. i54","1,955","1,495","1,205","1,035",895,950,945,"1,015","1,000",935,"1,640","1,365","1,015",990,665,"2,770","42,400"
"Victoriaville (CA), Que. i55","3,500","2,475","2,120","1,805","1,640","1,635","1,765","1,825","1,750","1,575","2,400","1,740","1,360","1,090",510,"1,440","33,200"
Ontario i56,"1,218,885","688,670","519,180","409,665","363,280","333,295","338,765","338,345","338,435","333,565","611,665","519,955","419,870","352,235","316,755","1,050,615","38,000"
"Barrie (CMA), Ont. i57","17,480","10,465","8,270","6,830","5,925","5,600","5,545","5,575","5,510","5,395","9,445","8,190","6,725","5,745","5,275","14,305","38,000"
"Belleville - Quinte West (CMA), Ont. i58","9,250","4,475","3,700","3,285","2,895","2,790","3,035","3,225","3,005","2,975","5,230","4,125","3,345","2,265","1,700","4,610","35,600"
"Brantford (CMA), Ont. i59","11,160","6,350","5,405","4,505","3,870","3,610","3,650","3,825","3,970","4,065","7,130","5,910","4,225","3,470","3,000","7,320","37,600"
"Brockville (CA), Ont. i60","3,125","1,350","1,090",940,870,825,850,850,780,795,"1,360",935,695,585,590,"1,240","31,400"
"Centre Wellington (CA), Ont. i61","2,540","1,260","1,100",925,755,690,675,745,760,850,"1,650","1,430","1,085",820,800,"2,230","43,200"
"Chatham-Kent (CA), Ont. i62","9,895","4,860","3,945","3,325","3,070","2,915","3,105","2,985","2,975","2,740","4,450","3,375","2,500","1,825","1,795","3,895","31,200"
"Cobourg (CA), Ont. i63","2,070",860,670,505,475,475,470,500,425,395,730,595,425,370,360,"1,040","31,200"
"Collingwood (CA), Ont. i64","2,470","1,240","1,055",750,730,695,640,640,570,525,905,695,565,440,410,"1,470","29,800"
"Cornwall (CA), Ont. i65","4,840","2,515","1,970","1,710","1,645","1,710","1,780","1,740","1,740","1,775","2,820","1,955","1,310",965,910,"1,740","33,200"
"Elliot Lake (CA), Ont. i66",980,465,295,255,235,215,215,180,165,165,280,200,160,115,115,340,"24,000"
"Essa (CA), Ont. i67","1,610",910,805,670,525,520,540,600,655,665,"1,165","1,305","1,080",790,595,"1,395","45,600"
"Greater Sudbury (CMA), Ont. i68","15,090","6,620","5,685","4,830","4,220","4,020","4,020","4,030","4,205","4,045","7,925","6,550","5,205","4,120","4,050","13,790","40,800"
"Guelph (CMA), Ont. i69","13,355","7,765","6,165","4,885","4,275","3,775","4,055","4,395","4,415","4,610","8,770","7,230","5,360","4,535","4,070","12,705","41,600"
"Hamilton (CMA), Ont. i70","66,505","36,265","27,960","21,940","19,420","18,275","18,170","18,145","18,675","17,855","34,390","29,670","24,075","20,550","18,760","59,645","39,600"
"Hawkesbury (CA), Ont./Que. i71",985,525,400,375,350,290,390,305,320,270,485,320,245,155,125,210,"29,200"
"Ingersoll (CA), Ont. i74","1,125",550,445,365,330,350,395,395,465,485,770,645,505,370,305,630,"41,200"
"Kawartha Lakes (CA), Ont. i75","8,550","3,260","2,840","2,285","1,980","1,830","1,965","1,985","1,855","1,770","3,070","2,565","1,945","1,620","1,445","3,925","31,800"
"Kenora (CA), Ont. i76","1,175",575,480,430,355,345,380,395,395,405,850,715,565,425,360,"1,000","44,000"
"Kingston (CMA), Ont. i77","16,725","7,895","6,225","5,150","4,575","4,085","4,335","4,375","3,915","4,095","7,805","6,605","5,225","4,140","3,840","9,725","35,600"
"Kitchener - Cambridge - Waterloo (CMA), Ont. i78","43,080","26,155","21,495","17,630","15,530","14,220","14,670","15,695","15,880","15,610","28,600","23,595","18,535","14,895","13,000","40,145","40,400"
"London (CMA), Ont. i79","46,460","25,755","20,535","16,765","14,740","13,410","13,560","14,055","14,735","14,515","25,135","20,140","15,055","11,805","10,045","29,570","35,600"
"Midland (CA), Ont. i80","2,430","1,120","1,005",745,705,700,775,640,660,645,"1,180",910,625,420,410,955,"31,600"
"Norfolk (CA), Ont. i81","6,700","2,885","2,410","2,055","1,815","1,705","1,620","1,625","1,760","1,790","3,120","2,340","1,825","1,470","1,230","2,765","33,200"
"North Bay (CA), Ont. i82","6,680","3,020","2,550","2,075","1,820","1,680","1,835","1,915","1,635","1,680","3,175","2,750","1,995","1,590","1,315","3,885","35,200"
"Orillia (CA), Ont. i83","3,040","1,610","1,370","1,055","1,020","1,015",945,940,850,755,"1,305","1,105",700,535,500,"1,130","29,200"
"Oshawa (CMA), Ont. i84","39,260","18,800","14,530","11,520","9,890","8,820","8,720","8,730","9,415","8,885","17,220","15,400","13,340","11,180","11,370","32,875","40,000"
"Ottawa - Gatineau (CMA), Ont./Que. i85","109,580","64,245","50,000","39,570","34,810","32,650","31,565","31,435","31,910","31,390","64,655","63,970","53,095","48,780","41,365","139,755","46,400"
"Owen Sound (CA), Ont. i88","3,065","1,490","1,200","1,035",965,840,900,950,825,745,"1,330","1,035",755,525,530,"1,430","31,200"
"Pembroke (CA), Ont. i89","1,725",955,840,660,600,555,650,640,610,590,"1,065",895,685,535,425,"1,015","36,800"
"Petawawa (CA), Ont. i90",885,535,475,355,335,320,365,360,400,405,"1,010","1,385","1,295",825,500,975,"57,600"
"Peterborough (CMA), Ont. i91","13,065","5,820","4,880","4,005","3,530","3,125","3,180","3,295","3,135","2,860","4,970","4,115","3,170","2,580","2,565","6,460","31,400"
"Port Hope (CA), Ont. i92","1,840",740,565,500,435,415,450,485,345,365,735,585,470,400,330,"1,115","34,400"
"Sarnia (CA), Ont. i93","10,045","4,040","3,425","2,860","2,520","2,360","2,380","2,330","2,190","2,075","3,385","2,930","2,200","1,800","1,920","7,360","33,600"
"Sault Ste. Marie (CA), Ont. i94","8,340","3,195","2,625","2,230","1,930","1,780","1,835","1,765","1,750","1,760","2,885","2,465","2,030","2,160","1,980","3,660","32,800"
"St. Catharines - Niagara (CMA), Ont. i95","43,365","22,770","18,370","14,140","12,110","11,080","11,010","10,875","10,335","10,140","17,415","13,845","10,170","8,120","8,010","19,265","29,400"
"Stratford (CA), Ont. i96","2,995","1,515","1,210","1,010",910,910,905,980,"1,075","1,100","1,850","1,335",865,695,625,"1,470","36,400"
"Thunder Bay (CMA), Ont. i97","9,860","4,995","4,190","3,715","3,345","3,105","3,075","3,110","2,990","3,215","5,810","4,865","3,845","3,055","2,770","7,115","38,400"
"Tillsonburg (CA), Ont. i98","1,550",735,590,530,445,465,510,485,590,615,880,665,450,315,245,675,"35,600"
"Timmins (CA), Ont. i99","3,220","1,535","1,390","1,120","1,005",980,980,"1,000","1,000",985,"1,830","1,620","1,255","1,030","1,000","3,700","42,800"
"Toronto (CMA), Ont. i100","514,570","330,620","230,050","175,365","157,285","141,520","144,000","141,705","141,910","140,805","259,595","221,570","184,215","157,870","140,395","523,780","38,800"
"Wasaga Beach (CA), Ont. i101","2,560","1,150",865,715,615,540,500,565,500,450,795,715,570,470,400,"1,070","28,200"
"Windsor (CMA), Ont. i102","41,855","19,580","16,080","12,645","11,350","10,795","11,040","10,780","10,250","9,895","17,305","13,400","11,175","8,415","8,490","23,430","32,800"
"Woodstock (CA), Ont. i103","3,500","1,935","1,655","1,380","1,260","1,175","1,240","1,385","1,460","1,440","2,610","2,025","1,395","1,095",800,"2,045","38,800"
Manitoba i104,"96,985","59,865","49,600","42,900","39,920","38,935","39,375","38,210","38,070","35,730","59,955","48,125","37,680","31,730","25,565","60,675","35,600"
"Brandon (CA), Man. i105","3,710","2,475","2,090","1,845","1,685","1,510","1,560","1,770","1,735","1,600","2,720","2,055","1,705","1,435","1,080","2,305","37,200"
"Portage la Prairie (CA), Man. i106",790,495,480,460,380,365,405,400,365,370,645,465,355,280,250,420,"36,400"
"Steinbach (CA), Man. i107","1,125",770,715,615,590,625,645,615,635,565,860,620,395,290,235,505,"33,600"
"Thompson (CA), Man. i108",825,475,370,350,335,360,320,310,265,290,540,390,350,305,350,"1,370","44,800"
"Winkler (CA), Man. i109","2,170","1,460","1,315","1,220","1,180","1,135","1,145","1,290","1,315","1,060","1,480",955,615,550,335,725,"32,400"
"Winnipeg (CMA), Man. i110","58,865","38,530","31,520","27,135","25,375","24,845","25,045","24,260","24,620","23,360","39,570","32,405","25,565","21,310","17,540","42,735","37,200"
Saskatchewan i111,"90,615","49,340","39,900","33,000","29,720","29,125","28,760","27,455","27,825","26,565","47,765","40,945","33,375","29,020","23,485","65,770","36,800"
"Estevan (CA), Sask. i112",820,545,480,385,335,350,345,295,345,290,565,505,445,380,300,"1,325","44,400"
"Moose Jaw (CA), Sask. i113","2,510","1,480","1,145","1,010","1,005",970,945,915,820,800,"1,360","1,150","1,005",920,715,"2,035","36,800"
"North Battleford (CA), Sask. i114","1,430",795,685,585,520,565,495,535,585,510,905,665,580,415,410,835,"36,800"
"Prince Albert (CA), Sask. i115","3,175","1,750","1,335","1,230","1,065","1,220","1,185","1,060","1,035",975,"1,695","1,425","1,230","1,180",955,"2,075","36,400"
"Regina (CMA), Sask. i116","16,840","10,435","8,325","6,805","6,120","6,030","5,925","5,975","6,305","6,190","11,850","10,700","8,980","7,670","6,470","18,325","44,000"
"Saskatoon (CMA), Sask. i117","24,075","14,470","11,620","9,485","8,440","7,930","8,400","7,855","7,935","7,615","14,280","12,610","10,515","9,120","7,255","21,255","39,600"
"Swift Current (CA), Sask. i118","1,445",800,710,565,515,575,570,540,565,535,935,790,595,520,355,975,"38,000"
"Weyburn (CA), Sask. i119",935,545,430,355,310,310,320,305,315,300,575,455,340,340,255,735,"38,400"
"Yorkton (CA), Sask. i120","1,555",820,730,550,585,530,610,530,565,545,970,815,615,485,440,"1,070","38,000"
Alberta i121,"305,715","186,575","148,615","122,175","110,645","101,880","101,830","100,265","97,800","95,520","181,750","161,825","133,940","110,575","101,435","366,350","41,600"
"Brooks (CA), Alta. i122",815,645,500,410,380,415,380,440,480,735,"1,220",515,345,325,260,535,"42,400"
"Calgary (CMA), Alta. i123","106,145","68,570","52,655","42,375","38,445","34,785","34,875","34,285","33,790","33,305","63,095","56,605","46,480","38,110","34,535","143,485","42,800"
"Camrose (CA), Alta. i124","1,305",790,695,575,510,490,525,490,490,435,765,635,545,390,380,"1,015","36,400"
"Canmore (CA), Alta. i125","1,425",760,670,535,590,495,495,445,460,465,785,625,520,440,345,"1,490","38,400"
"Edmonton (CMA), Alta. i126","95,795","60,780","48,680","39,975","35,830","33,510","33,080","33,425","32,700","32,330","64,230","58,175","48,705","39,985","36,950","118,560","44,000"
"Grande Prairie (CA), Alta. i127","3,685","2,530","2,175","2,075","1,865","1,670","1,720","1,680","1,575","1,620","3,115","2,770","2,385","2,035","2,010","5,970","46,400"
"High River (CA), Alta. i128","1,180",640,495,410,350,330,370,340,315,310,680,545,415,315,240,700,"35,600"
"Lacombe (CA), Alta. i129",960,580,455,360,300,315,340,310,265,300,580,525,430,350,325,840,"40,000"
"Lethbridge (CMA), Alta. i130","8,180","5,370","4,620","3,940","3,650","3,350","3,315","3,205","3,360","3,090","5,705","4,915","4,025","3,000","2,530","6,730","38,000"
"Lloydminster (CA), Alta./Sask. i131","2,375","1,550","1,330","1,080","1,010","1,030","1,095","1,020",960,890,"1,695","1,440","1,155","1,025",830,"2,695","40,400"
"Medicine Hat (CA), Alta. i134","6,000","3,205","2,820","2,325","2,080","2,155","2,160","2,110","1,845","1,795","3,150","2,760","1,975","1,645","1,550","4,570","36,000"
"Okotoks (CA), Alta. i135","2,225","1,225","1,060",775,760,680,625,555,580,555,"1,125","1,020",840,760,870,"3,300","44,800"
"Red Deer (CMA), Alta. i136","6,680","4,430","3,555","3,160","2,895","2,805","2,740","2,845","2,735","2,605","4,600","3,720","2,925","2,410","2,200","6,325","38,800"
"Strathmore (CA), Alta. i137","1,025",640,450,410,355,310,300,360,340,340,560,555,490,390,375,995,"41,600"
"Sylvan Lake (CA), Alta. i138","1,200",700,655,545,480,390,440,380,355,380,675,615,490,450,405,"1,330","39,200"
"Wetaskiwin (CA), Alta. i139",840,510,380,370,340,360,330,365,355,275,540,455,350,255,215,470,"36,400"
"Wood Buffalo (CA), Alta. i140","3,490","2,255","1,800","1,470","1,400","1,275","1,325","1,390","1,215","1,130","2,220","2,250","1,960","2,060","1,895","18,975","79,500"
British Columbia i141,"397,635","234,135","187,825","151,445","136,585","129,485","130,245","126,990","123,885","123,665","230,025","190,465","154,995","128,270","105,850","334,875","38,000"
"Abbotsford - Mission (CMA), B.C. i142","14,095","9,185","7,905","6,355","5,880","5,490","5,535","5,405","5,215","5,065","9,580","7,745","6,020","4,825","3,635","9,275","36,000"
"Campbell River (CA), B.C. i143","3,285","1,755","1,440","1,100","1,140","1,220","1,080",965,985,935,"1,705","1,305","1,190",870,770,"2,100","34,400"
"Chilliwack (CMA), B.C. i144","8,570","4,775","3,940","3,320","2,995","2,750","3,025","2,945","2,720","2,650","4,875","4,145","3,335","2,820","2,405","5,530","36,800"
"Courtenay (CA), B.C. i145","5,520","2,725","2,225","1,855","1,795","1,735","1,640","1,560","1,445","1,425","2,420","2,100","1,720","1,285","1,035","2,690","32,000"
"Cranbrook (CA), B.C. i146","2,175","1,090",895,850,760,740,750,640,700,630,"1,230",885,775,645,585,"1,885","37,600"
"Dawson Creek (CA), B.C. i147","1,320",705,575,545,490,515,490,470,455,415,860,730,655,495,435,"1,490","42,000"
"Duncan (CA), B.C. i148","3,955","1,910","1,670","1,380","1,255","1,225","1,370","1,140","1,130","1,110","1,920","1,460","1,200","1,035",820,"1,945","33,200"
"Fort St. John (CA), B.C. i149","1,635","1,010",865,735,835,770,705,670,735,735,"1,375","1,255","1,135",960,930,"3,470","51,200"
"Kamloops (CMA), B.C. i150","8,805","4,730","3,955","3,490","3,010","2,925","2,900","2,840","2,720","2,730","5,155","4,130","3,465","3,115","2,520","8,145","39,200"
"Kelowna (CMA), B.C. i151","18,660","10,470","8,680","7,310","6,520","6,320","5,970","5,885","5,835","5,735","10,310","8,340","6,635","5,320","4,240","13,040","35,600"
"Ladysmith (CA), B.C. i152","1,360",605,465,385,390,410,370,350,345,325,600,485,370,330,275,745,"34,000"
"Nanaimo (CMA), B.C. i153","9,180","5,165","4,180","3,455","3,305","3,135","3,240","3,120","2,885","2,915","5,100","4,015","3,250","2,585","2,110","5,550","34,800"
"Nelson (CA), B.C. i154","1,745",985,845,700,655,570,550,480,475,400,795,670,575,445,350,865,"30,400"
"Parksville (CA), B.C. i155","3,065","1,195",960,700,700,660,600,540,530,490,870,730,535,425,370,"1,100","26,000"
"Penticton (CA), B.C. i156","4,170","2,220","1,600","1,465","1,375","1,330","1,315","1,280","1,165","1,120","2,030","1,565","1,140",970,695,"1,975","31,800"
"Port Alberni (CA), B.C. i157","1,960","1,060",835,705,675,695,685,630,550,575,"1,090",790,675,495,370,865,"32,800"
"Powell River (CA), B.C. i158","1,555",695,600,555,485,460,515,410,390,370,670,545,350,280,230,630,"30,200"
"Prince George (CA), B.C. i159","5,750","3,515","2,945","2,560","2,435","2,285","2,360","2,220","2,175","2,325","4,330","3,880","3,370","2,930","2,480","7,035","45,200"
"Prince Rupert (CA), B.C. i160",940,565,420,370,370,360,350,355,295,285,600,485,365,360,360,"1,470","44,000"
"Quesnel (CA), B.C. i161","1,870",895,750,715,645,585,610,490,465,450,825,755,740,575,475,"1,355","35,200"
"Salmon Arm (CA), B.C. i162","1,615",840,700,515,520,570,495,535,390,400,715,625,455,395,300,805,"31,600"
"Squamish (CA), B.C. i163","1,650","1,040",850,710,685,650,750,690,670,680,"1,235","1,065","1,010",850,710,"2,385","46,000"
"Terrace (CA), B.C. i164","1,260",735,685,650,530,530,580,510,485,530,970,785,705,615,475,"1,550","43,200"
"Trail (CA), B.C. i165","1,705",510,420,370,345,340,390,330,310,300,515,385,325,300,350,"1,120","34,000"
"Vancouver (CMA), B.C. i166","203,790","130,605","102,400","79,915","71,010","66,610","67,640","67,620","66,905","67,100","126,730","105,025","85,095","70,470","58,530","199,585","39,600"
"Vernon (CA), B.C. i167","5,555","2,910","2,455","2,030","1,770","1,725","1,790","1,710","1,620","1,500","2,745","2,080","1,795","1,425","1,180","3,315","34,000"
"Victoria (CMA), B.C. i168","30,870","17,470","14,310","11,745","10,700","10,210","10,330","9,910","10,105","10,765","20,495","17,165","14,215","11,975","9,400","24,715","40,800"
"Williams Lake (CA), B.C. i169","1,875",950,775,695,610,620,665,625,600,570,985,935,815,660,505,"1,500","39,200"
Yukon i170,"2,920","1,500","1,270","1,070",990,960,"1,005","1,010","1,010",910,"1,825","2,000","2,020","1,765","1,655","4,215","52,400"
"Whitehorse (CA), Y.T. i171","2,040","1,090",950,795,760,710,805,800,830,720,"1,470","1,640","1,715","1,500","1,425","3,570","56,000"
Northwest Territories i172,"2,800","1,590","1,180","1,055",915,820,795,710,715,660,"1,460","1,410","1,375","1,425","1,375","7,270","60,400"
"Yellowknife (CA), N.W.T. i173",960,665,475,440,440,400,390,380,370,360,805,795,795,885,825,"4,500","73,500"
Nunavut i174,"3,275","1,575","1,110",850,680,590,515,400,355,375,695,655,675,810,750,"4,395","38,000"
