GEO_NAME,0,Married or living common-law,Not married and not living common-law
Abbotsford - Mission,161165.0,201485.0,132420.0
Alma,25685.0,37410.0,21050.0
Amos,15585.0,22605.0,13295.0
Baie-Comeau,22830.0,34005.0,18850.0
Barrie,176655.0,220955.0,152630.0
Bathurst,27915.0,38310.0,22210.0
Belleville - Quinte West,93920.0,119975.0,79410.0
Brandon,44260.0,53610.0,39410.0
Brantford,119485.0,149600.0,102205.0
Brockville,27715.0,33515.0,24955.0
Brooks,11510.0,14225.0,9765.0
Calgary,1207615.0,1539685.0,984175.0
Campbell River,34780.0,46255.0,27805.0
Campbellton,11785.0,14065.0,11295.0
Campbellton (New Brunswick part),10635.0,12565.0,10230.0
Campbellton (Quebec part),1150.0,1495.0,1065.0
Camrose,15600.0,19105.0,13480.0
Canmore,13935.0,19520.0,10460.0
Cape Breton,85205.0,92205.0,85885.0
Centre Wellington,25755.0,35615.0,18320.0
Charlottetown,66455.0,81545.0,58045.0
Chatham-Kent,87700.0,110330.0,73880.0
Chilliwack,93375.0,119885.0,75930.0
Cobourg,17985.0,22340.0,15565.0
Collingwood,21515.0,26960.0,18470.0
Corner Brook,26005.0,32995.0,21775.0
Cornwall,51780.0,63300.0,46680.0
Courtenay,54635.0,72555.0,43560.0
Cowansville,12955.0,17030.0,11935.0
Cranbrook,23020.0,30465.0,18285.0
Dawson Creek,14455.0,18065.0,12715.0
Dolbeau-Mistassini,12965.0,18635.0,10635.0
Drummondville,84615.0,119355.0,73530.0
Duncan,40645.0,51960.0,34165.0
Edmonton,1154295.0,1429530.0,986390.0
Edmundston,19565.0,25755.0,16980.0
Elliot Lake,10195.0,12260.0,9350.0
Essa,18345.0,25800.0,13320.0
Estevan,10380.0,13740.0,8125.0
Fort St. John,22625.0,29890.0,18695.0
Fredericton,91585.0,118460.0,75575.0
Gander,11395.0,15545.0,8590.0
Granby,76390.0,109330.0,64690.0
Grand Falls-Windsor,11925.0,15570.0,9510.0
Grande Prairie,50170.0,64460.0,43180.0
Greater Sudbury / Grand Sudbury,144260.0,182525.0,125415.0
Guelph,138655.0,173990.0,117850.0
Halifax,396355.0,496255.0,346310.0
Hamilton,659370.0,799890.0,577605.0
Hawkesbury,10535.0,12110.0,10765.0
Hawkesbury (Ontario part),8995.0,10190.0,9265.0
Hawkesbury (Quebec part),1540.0,1920.0,1515.0
High River,11875.0,15395.0,9350.0
Ingersoll,11195.0,14970.0,8820.0
Joliette,45065.0,58455.0,42940.0
Kamloops,97175.0,123880.0,82595.0
Kawartha Lakes,68710.0,93090.0,52595.0
Kelowna,191550.0,247410.0,157450.0
Kenora,12670.0,16045.0,11025.0
Kentville,23085.0,29655.0,19285.0
Kingston,147735.0,181660.0,131385.0
Kitchener - Cambridge - Waterloo,477255.0,588240.0,409645.0
Lachute,12105.0,14795.0,12190.0
Lacombe,10760.0,13770.0,8610.0
Ladysmith,13355.0,18545.0,9860.0
Lethbridge,100305.0,125055.0,85015.0
Lloydminster,28360.0,36285.0,23350.0
Lloydminster (Alberta part),15555.0,19740.0,12770.0
Lloydminster (Saskatchewan part),12800.0,16565.0,10580.0
London,453835.0,545485.0,406905.0
Matane,16105.0,22495.0,14125.0
Medicine Hat,63075.0,80680.0,51570.0
Midland,24410.0,29150.0,22540.0
Miramichi,23900.0,29305.0,20735.0
Moncton,133235.0,171985.0,112810.0
Montréal,3570005.0,4523005.0,3296145.0
Moose Jaw,28675.0,34780.0,25405.0
Nanaimo,99065.0,123600.0,86760.0
Nelson,16440.0,20825.0,14595.0
New Glasgow,29505.0,35585.0,26510.0
Norfolk,57200.0,76565.0,43920.0
North Battleford,15555.0,17925.0,14550.0
North Bay,61315.0,76900.0,53390.0
Okotoks,23835.0,32625.0,16930.0
Orillia,28765.0,33145.0,28045.0
Oshawa,338465.0,420560.0,288325.0
Ottawa - Gatineau,1236965.0,1554210.0,1076165.0
Ottawa - Gatineau (Ontario part),947970.0,1172180.0,820265.0
Ottawa - Gatineau (Quebec part),288995.0,382015.0,255895.0
Owen Sound,28050.0,35405.0,23845.0
Parksville,28400.0,40050.0,19500.0
Pembroke,20250.0,24855.0,18025.0
Penticton,41885.0,52620.0,35950.0
Petawawa,14205.0,19720.0,10820.0
Peterborough,109690.0,136555.0,95610.0
Port Alberni,22190.0,27830.0,19405.0
Port Hope,15080.0,19965.0,12075.0
Portage la Prairie,10795.0,12030.0,10525.0
Powell River,15605.0,20475.0,12710.0
Prince Albert,36245.0,39425.0,36725.0
Prince George,74390.0,93230.0,65240.0
Prince Rupert,11100.0,13655.0,10295.0
Quesnel,19460.0,25725.0,15960.0
Québec,705710.0,1015595.0,601730.0
Red Deer,82475.0,97835.0,75230.0
Regina,201885.0,248630.0,173705.0
Rimouski,46045.0,66640.0,39495.0
Rivière-du-Loup,25375.0,37300.0,21200.0
Rouyn-Noranda,35015.0,52265.0,28950.0
Saguenay,137010.0,203110.0,110225.0
Saint John,110405.0,137775.0,95010.0
Saint-Georges,29065.0,39955.0,25810.0
Saint-Hyacinthe,50890.0,66270.0,47930.0
Sainte-Agathe-des-Monts,17195.0,23280.0,15615.0
Sainte-Marie,10795.0,16180.0,8360.0
Salaberry-de-Valleyfield,36530.0,48505.0,34190.0
Salmon Arm,16855.0,21530.0,13710.0
Sarnia,82720.0,104735.0,69020.0
Saskatoon,256825.0,318250.0,219355.0
Sault Ste. Marie,65680.0,79025.0,59635.0
Sept-Îles,22755.0,31510.0,20815.0
Shawinigan,43330.0,55920.0,41425.0
Sherbrooke,191390.0,259180.0,173955.0
Sorel-Tracy,36665.0,49880.0,32885.0
Squamish,19675.0,27935.0,15050.0
St. Catharines - Niagara,370805.0,452290.0,325510.0
St. John's,181015.0,225625.0,157430.0
Steinbach,14020.0,17745.0,11060.0
Stratford,28430.0,35065.0,24845.0
Strathmore,11510.0,15025.0,9185.0
Summerside,15455.0,18520.0,13980.0
Swift Current,15615.0,20155.0,12380.0
Sylvan Lake,13015.0,16865.0,10855.0
Terrace,16075.0,20975.0,13695.0
Thetford Mines,24450.0,32895.0,21740.0
Thompson,9670.0,11580.0,9205.0
Thunder Bay,105600.0,125615.0,97915.0
Tillsonburg,15985.0,20720.0,12915.0
Timmins,34490.0,43690.0,30355.0
Toronto,5237170.0,6096150.0,4703330.0
Trail,12295.0,15395.0,10665.0
Trois-Rivières,137970.0,187215.0,126455.0
Truro,39485.0,49875.0,33855.0
Val-d'Or,27950.0,41580.0,23400.0
Vancouver,2270780.0,2748710.0,1975550.0
Vernon,57840.0,74660.0,47215.0
Victoria,346740.0,429535.0,305605.0
Victoriaville,44475.0,61835.0,39335.0
Wasaga Beach,21955.0,29855.0,16445.0
Wetaskiwin,10305.0,11450.0,10155.0
Weyburn,9920.0,12605.0,8225.0
Whitehorse,26405.0,34000.0,23285.0
Williams Lake,19635.0,26365.0,15835.0
Windsor,353840.0,418360.0,316110.0
Winkler,24720.0,32820.0,17435.0
Winnipeg,693555.0,827130.0,622335.0
Wood Buffalo,56875.0,79395.0,42710.0
Woodstock,38475.0,49640.0,31910.0
Yellowknife,16220.0,20960.0,14090.0
Yorkton,16270.0,20405.0,13675.0
