GEO_NAME,0 to 4 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,5 to 9 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Alberta,250250.0,280585.0,249765.0,248740.0,275465.0,323260.0,338945.0,307665.0,277770.0,278810.0,262770.0,274150.0,265240.0,217270.0,163890.0,105520.0,70160.0,28950.0
British Columbia,216825.0,255790.0,253690.0,294650.0,337090.0,358585.0,353350.0,319740.0,310035.0,244290.0,329005.0,356345.0,355130.0,319405.0,272365.0,181075.0,121055.0,48985.0
Canada,1831195.0,2126705.0,2012975.0,2202255.0,2421510.0,2518835.0,2511345.0,2399405.0,2304170.0,2054900.0,2368350.0,2647330.0,2571580.0,2210970.0,1847585.0,1260930.0,840545.0,344558.0
Manitoba,80435.0,86250.0,80905.0,91415.0,90470.0,91805.0,90150.0,84530.0,80235.0,86250.0,78210.0,87295.0,85155.0,73060.0,59955.0,39885.0,26890.0,11702.0
New Brunswick,32280.0,40605.0,39090.0,42125.0,42380.0,43485.0,45925.0,47320.0,50140.0,38240.0,52140.0,62315.0,62395.0,57190.0,48855.0,31675.0,20400.0,7615.0
Newfoundland and Labrador,18985.0,26175.0,25720.0,26075.0,25045.0,27525.0,29445.0,30890.0,33995.0,23030.0,38375.0,42150.0,42520.0,40450.0,34405.0,22365.0,13240.0,4062.0
Northwest Territories,2825.0,2830.0,2530.0,2555.0,3150.0,3510.0,3135.0,2980.0,2620.0,2820.0,2730.0,2920.0,2365.0,1650.0,1115.0,695.0,350.0,115.0
Nova Scotia,40340.0,49300.0,48180.0,58005.0,60430.0,59575.0,57755.0,56420.0,59200.0,47070.0,63775.0,77080.0,76935.0,68395.0,59435.0,39325.0,25130.0,9214.0
Nunavut,4385.0,3705.0,3085.0,2860.0,2990.0,3040.0,2370.0,2110.0,1930.0,3990.0,1985.0,1615.0,1190.0,720.0,485.0,220.0,105.0,32.0
Ontario,683515.0,803850.0,801455.0,895600.0,975400.0,981210.0,948030.0,890160.0,894580.0,764430.0,941270.0,1040160.0,966575.0,813215.0,691280.0,469485.0,325110.0,135447.0
Prince Edward Island,6750.0,8800.0,8560.0,10570.0,9200.0,9000.0,8980.0,9130.0,9505.0,8085.0,9960.0,11640.0,11430.0,10500.0,9190.0,5775.0,3730.0,1406.0
Quebec,422980.0,489425.0,429400.0,460660.0,527150.0,536040.0,550425.0,572565.0,516465.0,478955.0,522935.0,615690.0,625610.0,541970.0,455900.0,330840.0,210405.0,85766.0
Saskatchewan,69455.0,77120.0,68510.0,66870.0,70030.0,78380.0,79420.0,73055.0,65075.0,76545.0,62745.0,73165.0,74155.0,64770.0,48945.0,33045.0,23460.0,11106.0
Yukon,2175.0,2275.0,2085.0,2140.0,2705.0,3415.0,3425.0,2840.0,2615.0,2375.0,2460.0,2805.0,2880.0,2370.0,1765.0,1025.0,505.0,154.0
