GEO_NAME,"Agriculture, natural resources and conservation","Architecture, engineering, and related trades","Business, management and public administration",Education,Health and related fields,Humanities,"Mathematics, computer and information sciences","No postsecondary certificate, diploma or degree",Other,"Personal, protective and transportation services",Physical and life sciences and technologies,Social and behavioural sciences and law,"Visual and performing arts, and communications technologies"
Alberta,80170.0,724635.0,634250.0,184480.0,465645.0,116400.0,122245.0,809700.0,350.0,152820.0,123105.0,293055.0,79460.0
British Columbia,91410.0,655475.0,758970.0,199280.0,517325.0,206720.0,174360.0,911450.0,535.0,177230.0,154675.0,453605.0,170695.0
Canada,628235.0,5222415.0,5882625.0,1484350.0,3679950.0,1299400.0,1334605.0,6433215.0,4075.0,1544905.0,1027105.0,3177450.0,980915.0
Manitoba,27265.0,151935.0,167545.0,62650.0,142335.0,37435.0,38400.0,274780.0,65.0,41450.0,27595.0,85180.0,19905.0
New Brunswick,12230.0,100295.0,110980.0,31040.0,78440.0,18620.0,22620.0,158995.0,80.0,39210.0,13535.0,45520.0,11365.0
Newfoundland and Labrador,6870.0,84315.0,73560.0,22050.0,51005.0,10425.0,14345.0,99065.0,30.0,35850.0,8685.0,24555.0,5725.0
Northwest Territories,1235.0,5230.0,5535.0,2210.0,3520.0,945.0,755.0,9805.0,10.0,2290.0,1105.0,3080.0,640.0
Nova Scotia,15050.0,134875.0,146905.0,40400.0,101870.0,30340.0,29555.0,174660.0,60.0,47035.0,26575.0,74320.0,18590.0
Nunavut,375.0,2250.0,3070.0,1570.0,1225.0,525.0,245.0,10625.0,0.0,1265.0,440.0,1640.0,280.0
Ontario,201045.0,1865010.0,2323755.0,485450.0,1407790.0,559010.0,608090.0,2438475.0,1860.0,537630.0,441615.0,1459365.0,399890.0
Prince Edward Island,3290.0,17595.0,25045.0,6410.0,16350.0,4850.0,4370.0,27315.0,0.0,6170.0,3855.0,10035.0,2375.0
Quebec,158375.0,1330725.0,1482780.0,391190.0,775450.0,288275.0,294695.0,1278015.0,1040.0,458245.0,204120.0,668950.0,258130.0
Saskatchewan,29110.0,144425.0,144705.0,55110.0,114860.0,24290.0,24055.0,232940.0,45.0,43635.0,20185.0,53830.0,13035.0
Yukon,1810.0,5650.0,5550.0,2510.0,4140.0,1560.0,865.0,7405.0,0.0,2105.0,1645.0,4325.0,835.0
