GEO_NAME,"$10,000 to $19,999","$100,000 and over","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","< $10,000 (including loss)",k3_seg
Alberta,0.10699796230751972,0.5938839652762641,0.2479215984439873,0.2411075038650149,0.221311270627684,0.24456592859983914,0.3195408007017937,0.36592949751455817,0.37419603654873707,0.46237569159581804,0.3091063606771443,2
British Columbia,0.530610371865503,0.560989946029409,0.5313604317329075,0.566105399994823,0.5295392371883011,0.5345587278656057,0.542970387509473,0.5604441654574374,0.5569358004604152,0.5697852531032442,0.7286299968468718,2
Manitoba,-0.3732171182587955,-0.433401053958178,-0.3812961597838415,-0.365839920882325,-0.3596876593408859,-0.36733161545558124,-0.37684160809281775,-0.3870314181174493,-0.39350684221082394,-0.3881533436755887,-0.31563305786041945,0
New Brunswick,-0.4706691714839502,-0.5475105133511885,-0.4793892634687197,-0.47118993954195515,-0.4713681133642129,-0.49812134003219427,-0.5117096136994809,-0.5212154844066372,-0.5245223299537738,-0.5422006616369467,-0.5118856038145216,0
Newfoundland and Labrador,-0.5246695667450949,-0.551775540157912,-0.5492501201811006,-0.5580148436270651,-0.5697819605184868,-0.5790985386792908,-0.5846759927017938,-0.585893728856149,-0.5874547417018409,-0.5719420147161568,-0.5675239275901242,0
Northwest Territories,-0.6672615836629225,-0.6255538398098432,-0.69173336452721,-0.699970784890311,-0.7024760473861428,-0.6926330548193582,-0.6871120764175781,-0.6809490099829523,-0.6798402475936718,-0.669821452249285,-0.6771073148742585,0
Nova Scotia,-0.4143711571484596,-0.49718319703185104,-0.42366901189969136,-0.4324488771506034,-0.43959550050358753,-0.45410017835155786,-0.4642705768436488,-0.4654866085693014,-0.4587606800983009,-0.47051755522157473,-0.44879325386322627,0
Nunavut,-0.6657763823828206,-0.6346103576697453,-0.6920859003895097,-0.7014394648599098,-0.704661465201953,-0.6955032617344923,-0.6908801909153095,-0.6870470024757914,-0.6852448178244855,-0.6764511037096662,-0.6753220295926728,0
Ontario,2.838968593929002,2.972236179419318,2.7330350257598086,2.719597516426745,2.627414258569038,2.647081967822906,2.7160616212589535,2.767381050377422,2.771975332575233,2.8684787792516726,2.910432660973579,1
Prince Edward Island,-0.6369990208273398,-0.629465669084135,-0.6574786299070938,-0.6581812859234052,-0.6615975269596415,-0.6555751170156743,-0.6567929123664679,-0.6588437871964102,-0.6600718531252587,-0.6557794821422276,-0.6566593566490867,0
Quebec,1.3814402949434264,0.8361708084200871,1.5035172426755643,1.5059124783562943,1.669528818993147,1.6340178110906673,1.496891442669263,1.3831085230562037,1.3736425341315834,1.1402575534197972,1.0126928116509242,2
Saskatchewan,-0.43796935526563596,-0.4101833142790769,-0.44972728772134063,-0.44685181433145954,-0.43787238261035255,-0.4271983573245023,-0.41961950909596474,-0.4130608119989202,-0.41153416707467944,-0.3997091944850032,-0.4260262652722833,0
Yukon,-0.6670838672704317,-0.6335974138031484,-0.6912045607337606,-0.6987859674358446,-0.7007529294929078,-0.6906629719663667,-0.6835617720064209,-0.6773353848020105,-0.6758140241331326,-0.6663224695340838,-0.6819110206319271,0
