GEO_NAME,English,English and French,English and non-official language(s),"English, French and non-official language(s)",French,French and non-official language(s),Multiple non-official languages,Non-official language
Alberta,3183975.0,41100.0,664935.0,17280.0,15490.0,1590.0,24475.0,181988.33333333334
British Columbia,3491395.0,42645.0,880090.0,21610.0,11050.0,1065.0,39565.0,309490.0
Canada,20920835.0,953760.0,4835815.0,455760.0,6456960.0,395320.0,200320.0,1601453.3333333333
Manitoba,989765.0,21790.0,208480.0,5270.0,9840.0,860.0,8240.0,55048.333333333336
New Brunswick,500190.0,44360.0,21925.0,2940.0,183630.0,1350.0,750.0,6328.333333333333
Newfoundland and Labrador,487420.0,2615.0,9845.0,465.0,585.0,35.0,230.0,2410.0
Northwest Territories,31950.0,875.0,5190.0,135.0,440.0,15.0,95.0,1228.3333333333333
Nova Scotia,863700.0,16185.0,48020.0,2475.0,9795.0,180.0,1290.0,11561.666666666666
Nunavut,11635.0,335.0,14260.0,110.0,235.0,30.0,35.0,6675.0
Ontario,9630975.0,274675.0,2647980.0,117430.0,188560.0,14065.0,101145.0,749965.0
Prince Edward Island,134785.0,2605.0,7300.0,340.0,1620.0,45.0,280.0,3656.6666666666665
Quebec,623305.0,497380.0,205755.0,284940.0,6032885.0,375795.0,20125.0,244486.66666666666
Saskatchewan,938715.0,7920.0,118480.0,2595.0,2095.0,280.0,4005.0,27970.0
Yukon,33040.0,1275.0,3555.0,175.0,740.0,15.0,80.0,636.6666666666666
