GEO_NAME,Apartment in a building that has fewer than five storeys,Apartment in a building that has five or more storeys,Apartment or flat in a duplex,Movable dwelling,Other single-attached house,Row house,Semi-detached house,Single-detached house
Alberta,247030.0,74880.0,43730.0,45325.0,1215.0,127735.0,98740.0,994565.0
British Columbia,417475.0,221845.0,249835.0,51100.0,3760.0,168590.0,62890.0,866340.0
Canada,2738020.0,1596155.0,821490.0,189420.0,34880.0,980110.0,746560.0,7872310.0
Manitoba,74865.0,43665.0,7445.0,9590.0,600.0,19725.0,18185.0,343990.0
New Brunswick,51985.0,4260.0,13890.0,14195.0,1140.0,9740.0,13490.0,228950.0
Newfoundland and Labrador,12325.0,810.0,27535.0,1295.0,410.0,10770.0,8695.0,161410.0
Northwest Territories,2515.0,300.0,370.0,615.0,115.0,1630.0,1065.0,8600.0
Nova Scotia,64575.0,28650.0,13165.0,15345.0,700.0,11220.0,21605.0,272980.0
Nunavut,1345.0,110.0,190.0,5.0,5.0,3025.0,960.0,4275.0
Ontario,548785.0,984665.0,181030.0,14985.0,10220.0,505265.0,303260.0,2942990.0
Prince Edward Island,10370.0,130.0,1135.0,2680.0,85.0,2680.0,3645.0,43855.0
Quebec,1242910.0,225745.0,271245.0,23760.0,15745.0,98625.0,199080.0,1671920.0
Saskatchewan,61855.0,11040.0,11240.0,9090.0,755.0,19860.0,13680.0,322070.0
Yukon,1980.0,55.0,700.0,1445.0,125.0,1250.0,1270.0,10355.0
